"Data","Moeda","Configuracao","Pontos"
"2022-09-02","JPY","Fraqueza","3138"
"2022-09-04","JPY","Fraqueza","3138"
"2022-09-05","GBP","Força","2235"
"2022-09-06","JPY","Fraqueza","7709"
"2022-09-07","JPY","Fraqueza","8462"
"2022-09-08","JPY","Força","2078"
"2022-09-09","JPY","Força","4433"
"2022-09-11","JPY","Força","4433"
"2022-09-12","JPY","Fraqueza","4141"
"2022-09-13","EUR","Força","2380"
"2022-09-14","JPY","Força","6978"
"2022-09-15","CHF","Força","4724"
"2022-09-16","GBP","Fraqueza","4729"
"2022-09-18","GBP","Fraqueza","4729"
"2022-09-19","USD","Força","3850"
"2022-09-20","NZD","Fraqueza","5744"
"2022-09-21","EUR","Fraqueza","4190"
"2022-09-22","JPY","Força","17776"
"2022-09-23","GBP","Fraqueza","12206"
"2022-09-25","GBP","Fraqueza","12206"
"2022-09-26","GBP","Força","3755"
"2022-09-27","NZD","Força","3122"
"2022-09-28","GBP","Fraqueza","11493"
"2022-09-29","GBP","Força","5089"
"2022-09-30","GBP","Fraqueza","5865"
"2022-10-02","GBP","Fraqueza","5865"
"2022-10-03","EUR","Fraqueza","5425"
"2022-10-04","EUR","Força","6735"
"2022-10-05","USD","Força","5600"
"2022-10-06","NZD","Fraqueza","4715"
"2022-10-07","GBP","Força","3077"
"2022-10-09","GBP","Força","3077"
"2022-10-10","AUD","Fraqueza","4070"
"2022-10-11","NZD","Força","4699"
"2022-10-12","GBP","Força","8522"
"2022-10-13","GBP","Força","12742"
"2022-10-14","GBP","Fraqueza","6700"
"2022-10-16","GBP","Fraqueza","6700"
"2022-10-17","JPY","Fraqueza","3462"
"2022-10-18","NZD","Força","5874"
"2022-10-19","USD","Força","4135"
"2022-10-20","JPY","Fraqueza","3461"
"2022-10-21","USD","Força","4770"
"2022-10-23","GBP","Fraqueza","4621"
"2022-10-24","NZD","Fraqueza","7031"
"2022-10-25","GBP","Força","2101"
"2022-10-26","AUD","Força","5762"
"2022-10-27","USD","Força","3730"
"2022-10-28","JPY","Fraqueza","4800"
"2022-10-30","JPY","Fraqueza","4800"
"2022-10-31","JPY","Fraqueza","3145"
"2022-11-01","USD","Fraqueza","5195"
"2022-11-02","JPY","Força","3045"
"2022-11-03","GBP","Fraqueza","5442"
"2022-11-04","AUD","Força","6321"
"2022-11-06","AUD","Força","6321"
"2022-11-07","GBP","Força","6739"
"2022-11-08","GBP","Fraqueza","4127"
"2022-11-09","NZD","Fraqueza","4732"
"2022-11-10","GBP","Força","5143"
"2022-11-11","JPY","Força","8879"
"2022-11-13","JPY","Força","8879"
"2022-11-14","JPY","Fraqueza","3529"
